TIME,OPCODE,ACK/NACK,REASON
2023-08-16 09:47:01.943,0x17,RX
2023-08-16 09:47:01.973,0x17,TX,NACK,Not Ready Error
2023-08-16 09:47:05.016,0x16,RX
2023-08-16 09:47:10.002,0x1E,RX
2023-08-16 09:47:30.002,0x01,RX
2023-08-16 09:47:30.007,0x04,RX
2023-08-16 09:47:30.967,0x19,TX
2023-08-16 09:47:31.970,0x17,RX
2023-08-16 09:47:31.992,0x17,TX,NACK,Not Ready Error
2023-08-16 09:47:35.008,0x16,RX
2023-08-16 09:47:40.014,0x1E,RX
2023-08-16 09:48:00.007,0x01,RX
2023-08-16 09:48:00.013,0x04,RX
2023-08-16 09:48:00.895,0x19,TX
2023-08-16 09:48:01.898,0x17,RX
2023-08-16 09:48:01.928,0x17,TX,NACK,Not Ready Error
2023-08-16 09:48:05.014,0x16,RX
2023-08-16 09:48:10.002,0x1E,RX
2023-08-16 09:48:30.003,0x01,RX
2023-08-16 09:48:30.009,0x04,RX
2023-08-16 09:48:35.010,0x16,RX
2023-08-16 09:48:40.001,0x1E,RX
2023-08-16 09:49:00.015,0x01,RX
2023-08-16 09:49:00.023,0x04,RX
2023-08-16 09:49:05.010,0x16,RX
2023-08-16 09:49:10.011,0x1E,RX
2023-08-16 09:49:30.010,0x01,RX
2023-08-16 09:49:30.016,0x04,RX
2023-08-16 09:49:35.015,0x16,RX
2023-08-16 09:49:40.006,0x1E,RX
2023-08-16 09:49:50.964,0x19,TX
2023-08-16 09:49:51.966,0x17,RX
2023-08-16 09:49:51.992,0x17,TX,NACK,Not Ready Error
2023-08-16 09:50:00.007,0x01,RX
2023-08-16 09:50:00.012,0x04,RX
2023-08-16 09:50:00.947,0x19,TX
2023-08-16 09:50:01.949,0x17,RX
2023-08-16 09:50:01.956,0x17,TX,NACK,Not Ready Error
2023-08-16 09:50:05.013,0x16,RX
2023-08-16 09:50:10.013,0x1E,RX
2023-08-16 09:50:30.002,0x01,RX
2023-08-16 09:50:30.008,0x04,RX
2023-08-16 09:50:35.001,0x16,RX
2023-08-16 09:50:40.013,0x1E,RX
2023-08-16 09:50:51.963,0x19,TX
2023-08-16 09:50:52.967,0x17,RX
2023-08-16 09:50:52.974,0x17,TX,NACK,Not Ready Error
2023-08-16 09:51:00.004,0x01,RX
2023-08-16 09:51:00.010,0x04,RX
2023-08-16 09:51:00.977,0x19,TX
2023-08-16 09:51:01.979,0x17,RX
2023-08-16 09:51:02.007,0x17,TX,NACK,Not Ready Error
2023-08-16 09:51:02.082,0x17,RX
2023-08-16 09:51:02.111,0x17,TX,NACK,Not Ready Error
2023-08-16 09:51:05.009,0x16,RX
2023-08-16 09:51:10.003,0x1E,RX
2023-08-16 09:51:30.004,0x01,RX
2023-08-16 09:51:30.021,0x04,RX
2023-08-16 09:51:35.012,0x16,RX
2023-08-16 09:51:40.013,0x1E,RX
2023-08-16 09:52:00.013,0x01,RX
2023-08-16 09:52:00.019,0x04,RX
2023-08-16 09:52:01.029,0x19,TX
2023-08-16 09:52:02.031,0x17,RX
2023-08-16 09:52:02.060,0x17,TX,NACK,Not Ready Error
2023-08-16 09:52:05.012,0x16,RX
2023-08-16 09:52:10.017,0x1E,RX
2023-08-16 09:52:30.016,0x01,RX
2023-08-16 09:52:30.037,0x04,RX
2023-08-16 09:52:30.078,0x19,TX
2023-08-16 09:52:31.079,0x17,RX
2023-08-16 09:52:31.110,0x17,TX,NACK,Not Ready Error
2023-08-16 09:52:35.014,0x16,RX
2023-08-16 09:52:40.012,0x1E,RX
2023-08-16 09:53:00.017,0x01,RX
2023-08-16 09:53:00.024,0x04,RX
2023-08-16 09:53:01.023,0x19,TX
2023-08-16 09:53:02.026,0x17,RX
2023-08-16 09:53:02.061,0x17,TX,NACK,Not Ready Error
2023-08-16 09:53:05.002,0x16,RX
2023-08-16 09:53:10.003,0x1E,RX
2023-08-16 09:53:30.009,0x01,RX
2023-08-16 09:53:30.019,0x04,RX
2023-08-16 09:53:35.006,0x16,RX
2023-08-16 09:53:40.013,0x1E,RX
2023-08-16 09:54:00.017,0x01,RX
2023-08-16 09:54:00.025,0x04,RX
2023-08-16 09:54:01.063,0x19,TX
2023-08-16 09:54:29.010,0xFF,RX
